Region,Nitrogen,Phosphorus,Potassium,Temperature,Humidity,Soil_Moisture,Crop
Punjab,80.36960342118354,45.02231081969144,91.0345695813935,21.164136706364662,50.32084857266695,30.56613381076619,Wheat
Haryana,106.8078788948184,49.08060410005758,107.47820773150238,22.415566260768063,43.25060101283509,28.358636605070192,Wheat
Haryana,65.96765054328995,26.553915253271335,100.51341397949525,34.08875886178914,45.04698535214601,25.897180319646306,Cotton
Haryana,133.0631708064984,61.42035593219102,130.43380060300996,26.667162032454783,78.63521384473415,35.76425087465543,Rice
Punjab,80.57471062373689,32.515822163859724,110.91488396507275,31.525344599842338,40.49535390766898,21.538771126270863,Cotton
Punjab,121.98955217938575,89.98050284536595,186.7709178009846,29.968093096048143,68.52522963484716,30.688498257567097,Sugarcane
Haryana,83.13904749652727,46.99564506194518,104.33128072341069,19.62879883203899,60.325859828571936,31.131541863715448,Wheat
Haryana,67.42516123807333,21.527673753280425,96.1275630107742,42.333660061678444,33.50909912159874,17.06483584838315,Bajra
Punjab,94.0945901099044,54.00164765400593,95.74509593826772,21.709386856454305,68.2100595524631,28.995247887618667,Wheat
Haryana,112.60220981784028,56.33746193942804,128.93108489483487,24.85422755196478,74.49698385787359,42.060567004903184,Rice
Haryana,101.31831964173352,47.67568666275182,88.93036554127364,22.225187779673497,48.208715069387566,27.269585472946307,Wheat
Punjab,115.62752384705199,65.30142686148932,125.46457059963556,24.208575517781963,78.36982575855025,34.94016961684432,Rice
Haryana,45.27024330244872,27.213568213015588,77.65419700663153,33.679319203837494,23.38892720437431,16.477911243018454,Bajra
Haryana,54.39602075009262,30.210894870508223,67.8879597098801,37.080565267962136,29.46495287568311,15.093441805981055,Bajra
Haryana,99.12905199602854,64.08751161039395,117.83938514312347,32.4859851296759,78.48824641674653,37.917350405293746,Rice
Haryana,181.36463465474628,66.69274857274897,198.88416759911829,24.898590632848784,62.97098137913925,30.196638761507685,Sugarcane
Haryana,57.44966571108723,24.96528412314435,80.28961694381677,37.1574748225133,29.052841341265612,13.981340564058613,Bajra
Punjab,70.15024763312043,48.14421010406914,74.94687603183937,20.523225120516944,56.286280235146684,27.977519085738667,Wheat
Haryana,156.17456655061812,74.73611046275968,215.25033161079054,26.894841393263206,66.27698988651457,37.55250980025927,Sugarcane
Punjab,166.85647498114582,72.38582618934767,208.21560237679233,28.553673471617675,71.77849644188545,39.88805288978886,Sugarcane
Punjab,63.20048086671607,33.652404839455926,95.27470054920778,34.0741142475623,35.685095472535515,18.670455464848665,Bajra
Punjab,85.41977413637498,56.9539508117389,107.19449504950563,17.567718471024243,65.55044186023636,28.744951121314752,Wheat
Punjab,45.03700985454665,28.82417998258991,91.96042313407891,40.8769258147554,48.86269738217694,17.674649492454403,Bajra
Haryana,166.43171683360077,94.26630886661083,195.8988247512259,30.472507414721193,70.87331464240489,37.04984016880132,Sugarcane
Punjab,52.13441443303926,38.042951916785874,86.04852690441106,37.77926447468228,35.960091601316265,16.300913584373024,Bajra
Punjab,84.84304003867237,44.15856030321154,82.72837001296952,20.526841656148964,47.88646878121653,25.610393854896866,Wheat
Punjab,100.68069278970552,41.35643151548349,92.9979874569963,22.332046583451934,62.69571172905325,31.43099552567582,Wheat
Punjab,61.04905223155877,28.77701449972798,58.43226004886002,36.39263293817116,36.09297839639196,15.953760787364148,Bajra
Haryana,94.94357708079043,70.81816910583811,162.97853610198783,27.781418138176956,71.24029189425673,38.227940211794845,Rice
Haryana,33.41187565754331,27.16497877404645,84.05182057130709,33.90844420546147,41.935764198041745,19.860479572165005,Bajra
Punjab,113.47982173507454,64.78473818221964,133.48749076886304,29.018137544387304,80.82355392619955,40.80076875256816,Rice
Punjab,42.72320035543943,24.54360995315147,88.58344511076004,33.109752535586054,28.787859626856665,12.190131043248337,Bajra
Punjab,134.7853230644598,77.52398206652049,177.23074817691392,22.775755533505247,68.78100981057904,35.0707768859194,Sugarcane
Haryana,56.718393397935316,30.26625609992392,73.24405394375148,33.963968780216284,40.983831273144745,15.129129989439498,Bajra
Haryana,59.73145453267787,23.985442809802162,82.6219296257406,37.8215553143349,40.5373553957989,14.801167869584901,Bajra
Punjab,103.96936228453885,45.1969170775788,91.30659708601314,17.71972530923843,51.527027965043565,30.519863924380736,Wheat
Punjab,106.14784963542147,42.35885889652682,117.81057423639216,20.04582727765923,56.532731382607,26.83140946053046,Wheat
Punjab,144.50249121417522,60.2875630409578,230.90574680627384,25.1913235648142,70.45791149072113,36.419314913490815,Sugarcane
Punjab,102.3443845906788,39.46969298110851,119.1835575357245,19.948066058664203,61.231649055374724,24.612478756500245,Wheat
Punjab,84.83123442040778,48.43246572602966,105.58871846575562,20.49411261008204,58.44594799349074,27.13608087564279,Wheat
Haryana,107.30873923950581,69.94553615315884,117.71229411719695,25.895747423943707,81.05378869808796,41.647254298079176,Rice
Haryana,114.37149757828448,61.460008244793706,129.27815679273226,30.4292947867904,69.1191333172261,41.62520099028906,Rice
Punjab,71.05198015209525,31.47633606241102,97.24981408055885,33.692978356067066,30.79633954765297,18.794933440725416,Bajra
Haryana,157.14030971930094,68.07090404739346,217.991997508665,28.268248802191522,72.24169569322727,37.09876280641204,Sugarcane
Punjab,105.72326737475815,64.56478934874528,127.78785349531972,22.9877947483387,66.86228781058419,40.16028315553794,Rice
Punjab,60.957362587612735,30.42325300202888,98.72880195045701,37.5939300447015,45.231571373227034,18.075585284343777,Bajra
Haryana,121.94036717568372,66.81952890075145,111.53904825735741,24.496087610320604,77.73944430589104,42.10753064465598,Rice
Haryana,100.07357895766832,41.34601082908731,91.01950701167425,17.91972064973181,56.75513257171882,29.8333479749073,Wheat
Haryana,67.11118464664446,27.799291432309595,130.60933313357094,35.03855103744252,38.55427494910891,24.49726918197949,Cotton
Haryana,99.34801419310352,39.38761218939922,89.46090488826493,20.209063167105448,52.09527266018975,25.519174223686054,Wheat
Haryana,110.29339874929268,61.528643493058006,178.03558868017228,28.296371529854852,75.69768734541519,39.78989191988236,Rice
Punjab,175.08785960999347,74.38420235445295,190.62374059081313,22.91247087969913,76.69496000849614,30.57398262361842,Sugarcane
Punjab,64.5799394148002,30.817728092492175,74.73919155804376,37.580705916347306,43.31738247801009,20.454725106397234,Bajra
Haryana,158.09524866862654,79.39259489380676,198.52107183163994,25.429138575139305,75.92700736929783,33.03799829650855,Sugarcane
Haryana,159.88003334606034,66.50033383325699,192.36087424943344,29.37702559712902,64.6077036184832,38.25166519754102,Sugarcane
Punjab,87.28572082061997,53.21345964023748,126.02568677420786,30.561552425818483,41.520951946869175,22.101678556226624,Cotton
Punjab,37.72967112513866,18.163701770855216,69.46625049835247,40.519745142108604,32.97573076661738,15.567372623395103,Bajra
Haryana,196.37484534143806,71.74608644990127,186.45141042493242,27.118177520190955,76.25930357457815,40.24363906713387,Sugarcane
Punjab,127.80923367539636,62.04933773489049,120.7576277578217,32.88164772590473,78.24769319745783,42.59136705252562,Rice
Haryana,143.341177777959,86.93975914087994,194.08762421827134,28.571809180968103,61.84866431823798,41.80093047638384,Sugarcane
Punjab,63.46667596794255,29.875933917335736,88.47329002558531,29.111381242219277,41.45489521184755,27.38314784381642,Cotton
Haryana,50.21307811060809,13.581418881009506,84.76129031690547,34.39888143313506,47.35146278843228,16.03638744770008,Bajra
Punjab,146.80115703402333,69.49319153343238,197.39608934390478,27.541102321548454,62.26206978861634,37.10226620699294,Sugarcane
Punjab,149.84450111094048,58.87631881909516,202.8684637506917,22.845451851195698,74.03810878484632,37.28089985220258,Sugarcane
Punjab,66.52737892544052,42.30014762066543,136.95605057138545,33.30310693819761,43.5203802381339,23.839590381167902,Cotton
Punjab,84.86663037547147,67.01164516402349,115.01610844093025,31.258549571072496,73.34939953016774,39.294443393562744,Rice
Haryana,68.57192199762092,43.58769168395643,100.5981158998994,30.267523707299425,44.6610123111004,19.43534057174043,Cotton
Haryana,161.792784627148,48.48171936955051,227.32778823708878,25.6556582382879,71.50497852272686,37.47024593560762,Sugarcane
Punjab,127.05982177541681,59.91264030359213,144.75546708619692,25.745126974796733,73.27692357092275,42.140140411206524,Rice
Haryana,51.37068893773984,24.131766704446793,70.41073545482449,28.83667052546271,26.843407283584472,20.247574831453726,Bajra
Punjab,135.2705926497095,60.171568801323296,139.24014428817557,30.231893817254146,71.21184340292294,45.70104859471033,Rice
Punjab,40.927889004958104,25.907166659695836,84.65686669250191,39.53079309826222,31.216526847408588,19.158457622118462,Bajra
Haryana,108.39375758788104,50.92857590146012,104.67522994909176,19.49556492720742,50.813089578252125,26.61945670275636,Wheat
Haryana,51.118231814587716,28.35208111187744,86.60573981049865,36.508630390434675,40.04880599018704,20.476615686965854,Bajra
Haryana,169.65174762622573,74.44564320875807,211.60604459709953,29.075909773816996,58.96973227998866,40.772309962178745,Sugarcane
Punjab,82.48333710341127,41.08836344421133,93.07617449179962,19.937534243643732,53.393779895365796,28.84916969490778,Wheat
Punjab,65.2488643276593,22.526141410341523,78.81011197152317,38.7348031243421,43.494057496438415,14.321789377214746,Bajra
Haryana,54.69427215657505,20.941893112866307,79.80579825910476,34.185785811595096,33.756939313559734,23.812425992016614,Bajra
Haryana,55.921924421226095,34.837689935322985,105.03673359894027,37.21921914335048,47.78276562266879,19.16129607725027,Cotton
Punjab,59.15164391049915,29.586569312205768,93.89569922807749,34.66799031762525,22.614330194977548,18.492161588961892,Bajra
Punjab,67.44966004089501,51.37962441144357,109.46481593605732,30.735037086252724,50.8438445850556,22.638076091202777,Cotton
Haryana,49.61307318531873,25.544868411172224,99.16540350993144,36.49241208525196,31.853550103139522,15.105541607742582,Bajra
Haryana,94.64973741510522,41.68145376368083,98.41407313426392,18.805964417759817,59.52362554620373,30.617734570847656,Wheat
Haryana,128.8393654650642,60.51056980026911,119.06794791321005,27.889145744179352,76.28288697924654,42.363432584394346,Rice
Punjab,90.10329169813727,50.851978169960795,102.89523593261022,35.16838677479045,46.780202219940435,18.965421770724127,Cotton
Punjab,95.33510394087754,47.60301144053326,87.4688266937942,18.12847553758738,67.51585895452855,26.290039150998616,Wheat
Punjab,103.57192378050402,62.28597810252885,142.55269729246626,30.770321482133802,76.51028753663738,35.77093983810537,Rice
Punjab,82.42906111094348,39.64629201860793,130.9420565558931,34.94937298262307,40.972613675327786,16.849129262300693,Cotton
Haryana,53.0192636985064,34.003127005279794,93.67805459542446,37.14431439047626,32.309238836176675,15.098051104387775,Bajra
Punjab,155.36826547389126,77.50951020712043,183.43638872252984,29.214140981284277,63.77137105312408,34.479078877649854,Sugarcane
Haryana,66.51105702808123,30.163368286472995,66.30333061161525,41.43672807769578,42.36071221073217,17.049730998723092,Bajra
Punjab,64.2666616339398,41.35018324417015,98.05219534976646,35.98458863762351,33.651261472891655,23.188243376483666,Cotton
Haryana,102.85651211700184,39.93886313484066,83.45886773205245,20.766959658698475,62.97391898243374,29.37498676322788,Wheat
Haryana,173.2300609696395,73.15123243754735,169.88504398871666,29.59986134935507,77.33326023187067,32.84585891951135,Sugarcane
Haryana,80.4259797718306,44.29958681380909,84.67726366684133,18.37843961316333,56.927820108225504,28.013858551347777,Wheat
Haryana,85.83523136175668,46.20249398060314,111.81248139061499,18.81275491290979,54.59953303253282,24.804436936007363,Wheat
Punjab,100.00706585458684,47.75508047537062,94.29834288541353,17.231731777473346,57.14809109566293,28.01921921790778,Wheat
Punjab,83.93255296896974,45.48095856292532,105.38654287319736,16.67969072275131,53.5598463028039,30.95764349645401,Wheat
Punjab,115.11903990513746,37.56305641423445,99.95075178830868,20.070385728762048,54.85732419412514,28.957526898175722,Wheat
Punjab,86.34650374622125,52.84281253890428,89.28264177250666,22.937455274782685,62.41945076883881,26.327173209681344,Wheat
Punjab,91.77453855482888,40.01411456359336,112.51483535274302,31.75067347473703,46.759872353962585,20.055524398077388,Cotton
Punjab,75.60685505679058,36.94304912335838,95.59229971221234,37.3965752991026,43.55057046512638,24.194571638115303,Cotton
Haryana,58.07637708762769,23.581618146772872,86.90455806996587,36.00954456523506,41.21788883779619,18.315846950988565,Bajra
Punjab,128.94943795900213,74.86072701319732,139.0355080155523,24.972796258525996,74.30601799527231,32.57746158347591,Rice
Haryana,115.7964979721641,85.37171472532005,212.65165599284396,24.392821034842164,54.26371590777766,31.743092846195328,Sugarcane
Punjab,164.39953592359038,80.04547340493235,151.56224914929808,26.501272404802613,60.383156959477645,40.75734365223817,Sugarcane
Punjab,161.11994103142888,71.91135369426846,216.90921065948734,22.988492726526943,71.76481323152193,32.86953594071653,Sugarcane
